,,,메인보드 품목,단가,제조사,소켓,세부 칩셋,폼팩터,길이,폭,DDR,메모리 슬롯,램 클럭 지원,SLI,CF,DVI,D-Sub,HDMI 2.0,HDMI,DP,USB C 3.1,USB C 3.0,USB 3.1,USB 3.0,USB 2.0,"SATA
3","SATA
2",M.2,SATAe,U.2,LAN,WiFi,Bluetooth,색상,RGB Sync
84,LGA 1151v2,,[MSI] B360M PRO-VD,\86000,MSI,LGA 1151v2,B360,m-ATX,22.6,18.5,DDR4,2 개,2666Mhz,,,O,O,,,,,,,4,2,6,,1,,,Realtek RTL8111H,,,,
85,LGA 1151v2,,[MSI] B360M PRO-VDH,\91000,MSI,LGA 1151v2,B360,m-ATX,24.4,24.4,DDR4,4 개,2666Mhz,,,O,O,,O,,,1,,3,2,6,,1,,,Realtek RTL8111H,,,,
86,LGA 1151v2,,[MSI] B360M PRO-VH,\88000,MSI,LGA 1151v2,B360,m-ATX,22.6,18.5,DDR4,2 개,2666Mhz,,,,O,,O,,,,,4,2,6,,1,,,Realtek RTL8111H,,,,
87,LGA 1151v2,,[MSI] B360M 게이밍 플러스,\102010,MSI,LGA 1151v2,B360,m-ATX,24.3,20.6,DDR4,2 개,2666Mhz,,,O,O,,O,,,1,,3,2,6,,1,,,Intel I219V,,,,O
88,LGA 1151v2,,[MSI] B360M 바주카 플러스,\103100,MSI,LGA 1151v2,B360,m-ATX,24.4,24.4,DDR4,4 개,2666Mhz,,,O,,,O,,,1,,3,2,6,,1,,,Realtek RTL8111H,,,,O
89,LGA 1151v2,,[MSI] B360M 박격포,\118000,MSI,LGA 1151v2,B360,m-ATX,24.3,24.3,DDR4,4 개,2666Mhz,,,O,,,O,O,1,,1,,4,4,,2,,,Intel I219V,,,,O
90,LGA 1151v2,,[MSI] B360M 박격포 티타늄,\123000,MSI,LGA 1151v2,B360,m-ATX,24.3,24.3,DDR4,4 개,2666Mhz,,,O,,,O,O,1,,1,,4,4,,2,,,Intel I219V,,,,O
91,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,-- [커피레이크] H370 --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,LGA 1151v2,,[ASRock] H370 PRO4,\119220,ASRock,LGA 1151v2,H370,ATX,30.5,22.4,DDR4,4 개,2666Mhz,,2,O,,,O,,,,2,2,2,6,,3,,,Intel I219V,,,,
95,LGA 1151v2,,[ASRock] H370M PRO4,\112000,ASRock,LGA 1151v2,H370,m-ATX,24.4,24.4,DDR4,4 개,2666Mhz,,2,O,O,,O,,1,,1,2,2,6,,2,,,Intel I219V,,,,
96,LGA 1151v2,,[ASRock] H370M-ITX/ac,\142000,ASRock,LGA 1151v2,H370,m-ITX,17,17,DDR4,2 개,2666Mhz,,,,,,2X,O,,,4,2,2,6,,1,,,Intel I219V + I211-AT,O,4.2,,
97,LGA 1151v2,,[ASRock] FATAL1TY H370 Performance,\142000,ASRock,LGA 1151v2,H370,ATX,30.5,24.4,DDR4,4 개,2666Mhz,,2,,O,,O,O,1,,1,2,2,6,,2,,,Intel I219V,,,,O
98,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,LGA 1151v2,,[ASUS] PRIME H370-A,\134200,ASUS,LGA 1151v2,H370,ATX,30.5,22.1,DDR4,4 개,2666Mhz,,2,O,O,,O,,,,2,2,2,6,,2,,,Realtek RTL8111H,,,,
100,LGA 1151v2,,[ASUS] PRIME H370-PLUS,\132000,ASUS,LGA 1151v2,H370,ATX,30.5,22.11,DDR4,4 개,2666Mhz,,2,O,O,,O,,,,2,2,2,6,,2,,,Realtek RTL8111H,,,,
101,LGA 1151v2,,[ASUS] PRIME H370M-PLUS,\138000,ASUS,LGA 1151v2,H370,m-ATX,24.4,24.4,DDR4,4 개,2666Mhz,,2,O,O,,O,,,1,2,2,2,6,,2,,,Intel I219V,,,,
102,LGA 1151v2,,[ASUS] ROG STRIX H370-F GAMING,\178700,ASUS,LGA 1151v2,H370,ATX,30.5,24.4,DDR4,4 개,2666Mhz,,2,O,,,O,O,1,,2,,4,6,,2,,,Intel I219V,,,,O
103,LGA 1151v2,,[ASUS] ROG STRIX H370-I GAMING,\174630,ASUS,LGA 1151v2,H370,m-ITX,17,17,DDR4,2 개,2666Mhz,,,,,,O,O,,1,2,3,,4,,2,,,Intel I219V + Realtek RTL8111H,O,5.0,,O
104,LGA 1151v2,,[ASUS] TUF H370-PRO GAMING (Wi-Fi),\166670,ASUS,LGA 1151v2,H370,ATX,30.5,24.4,DDR4,4 개,2666Mhz,,2,,O,,O,O,,1,2,2,2,6,,2,,,Intel I219V,O,5.0,,O
105,LGA 1151v2,,[ASUS] TUF H370-PRO GAMING,\158000,ASUS,LGA 1151v2,H370,ATX,30.5,24.4,DDR4,4 개,2666Mhz,,2,,O,,O,O,,1,2,2,2,6,,2,,,Intel I219V,,,,O
106,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,LGA 1151v2,,[GIGABYTE] H370 AORUS Gaming 3 WiFi,\167000,GIGABYTE,LGA 1151v2,H370,ATX,30.5,24.4,DDR4,4 개,2666Mhz,,2,O,,,O,,1,,1,2,4,6,,2,,,Intel I219V,O,5.0,,O
108,LGA 1151v2,,[GIGABYTE] H370 AORUS Gaming 3,\140400,GIGABYTE,LGA 1151v2,H370,ATX,30.5,24.4,DDR4,4 개,2666Mhz,,2,O,,,O,,1,,1,2,4,6,,2,,,Intel I219V,,,,O
109,LGA 1151v2,,[GIGABYTE] H370 HD3 듀러블에디션,\141450,GIGABYTE,LGA 1151v2,H370,ATX,30.5,22.5,DDR4,4 개,2666Mhz,,2,O,O,,O,,,1,1,4,2,6,,2,,,Intel I219V,,,,O
110,LGA 1151v2,,[GIGABYTE] H370M D3H 듀러블에디션,\139000,GIGABYTE,LGA 1151v2,H370,m-ATX,24.4,23,DDR4,4 개,2666Mhz,,2,O,O,,O,,,1,1,4,2,6,,2,,,Intel I219V,,,,O
111,LGA 1151v2,,[GIGABYTE] H370M DS3H 듀러블에디션,\133000,GIGABYTE,LGA 1151v2,H370,m-ATX,24.4,24.4,DDR4,4 개,2666Mhz,,2,O,O,,O,O,,1,,3,2,6,,2,,,Intel I219V,,,,O
112,LGA 1151v2,,[GIGABYTE] H370N WiFi 듀러블에디션,\167500,GIGABYTE,LGA 1151v2,H370,m-ITX,17,17,DDR4,2 개,2666Mhz,,,,,,O,O,,1,,4,,4,,2,,,Intel I219V + I211-AT,O,5.0,,O
113,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,LGA 1151v2,,[MSI] H370 게이밍 프로 카본,\159600,MSI,LGA 1151v2,H370,ATX,30.4,24.3,DDR4,4 개,2666Mhz,,2,,,,O,O,1,,1,4,2,6,,2,,,Intel I219V,,,,O
