,,,CPU 품목,가격,제품군,제조사,코어 수,쓰레드 수,동작속도,터보속도,L3캐시,내장 그래픽,GPU속도,"최대 지원
메모리",TDP,소켓,정품,"기본쿨러포함",모델
112,LGA 2011-v3,,[Intel] i7-6950X (브로드웰-E),\2168060,Core i7,Intel,10개,20개,3 Ghz,3.5 Ghz,25MB,N/A,N/A,2400Mhz,140W,LGA 2011-v3,O,X,i7-6950X
113,0,, ,,,,,,,,,,,,,,,,
114,LGA 1151,,[Intel] i7-6700 (스카이레이크),\349700,Core i7,Intel,4개,8개,3.4 Ghz,4 Ghz,8MB,HD 530,1150Mhz,2133Mhz,65W,LGA 1151,O,O,i7-6700
115,LGA 1151,,[Intel] i7-6700K (스카이레이크),\330000,Core i7,Intel,4개,8개,4 Ghz,4.2 Ghz,8MB,HD 530,1150Mhz,2133Mhz,91W,LGA 1151,O,X,i7-6700K
116,0,, ,,,,,,,,,,,,,,,,
117,LGA 1151,,[Intel] i7-7700 (카비레이크),\315800,Core i7,Intel,4개,8개,3.6 Ghz,4.2 Ghz,8MB,HD 630,1150Mhz,2400Mhz,65W,LGA 1151,O,O,i7-7700
118,LGA 1151,,[Intel] i7-7700K (카비레이크),\337400,Core i7,Intel,4개,8개,4.2 Ghz,4.5 Ghz,8MB,HD 630,1150Mhz,2400Mhz,91W,LGA 1151,O,X,i7-7700K
119,0,, ,,,,,,,,,,,,,,,,
120,LGA 2066,,[Intel] i7-7740X (카비레이크-X),\467450,Core i7,Intel,4개,8개,4.3 Ghz,4.5 Ghz,8MB,N/A,N/A,2400Mhz,112W,LGA 2066,O,X,i7-7740X
121,LGA 2066,,[Intel] i7-7800X (스카이레이크-X),\392000,Core i7,Intel,6개,12개,3.5 Ghz,4 Ghz,8.25MB,N/A,N/A,2400Mhz,140W,LGA 2066,O,X,i7-7800X
122,LGA 2066,,[Intel] i7-7820X (스카이레이크-X),\627600,Core i7,Intel,8개,16개,3.6 Ghz,4.5 Ghz,11MB,N/A,N/A,2666Mhz,140W,LGA 2066,O,X,i7-7820X
123,LGA 2066,,[Intel] i9-7900X (스카이레이크-X),\1045670,Core i9,Intel,10개,20개,3.3 Ghz,4.3 Ghz,13.75MB,N/A,N/A,2666Mhz,140W,LGA 2066,O,X,i9-7900X
124,LGA 2066,,[Intel] i9-7920X (스카이레이크-X),\1253520,Core i9,Intel,12개,24개,2.9 GHz,4.3 GHz,16.5MB,N/A,N/A,2666Mhz,140W,LGA 2066,O,X,i9-7920X
125,LGA 2066,,[Intel] i9-7940X (스카이레이크-X),\1468000,Core i9,Intel,14개,28개,3.1 GHz,4.3 GHz,19.25MB,N/A,N/A,2666Mhz,165W,LGA 2066,O,X,i9-7940X
126,LGA 2066,,[Intel] i9-7960X (스카이레이크-X),\1777000,Core i9,Intel,16개,32개,2.8 GHz,4.2 GHz,22MB,N/A,N/A,2666Mhz,165W,LGA 2066,O,X,i9-7960X
127,LGA 2066,,[Intel] i9-7980XE (스카이레이크-X),\2180130,Core i9,Intel,18개,36개,2.6 GHz,4.2 GHz,24.75MB,N/A,N/A,2666Mhz,165W,LGA 2066,O,X,i9-7980XE
128,0,, ,,,,,,,,,,,,,,,,
129,LGA 1151v2,,[Intel] i7-8700 (커피레이크),\379900,Core i7,Intel,6개,12개,3.2 Ghz,4.6 Ghz,12MB,UHD 630,1200Mhz,2666Mhz,65W,LGA 1151v2,O,O,i7-8700
