,,,CPU Cooler,가격,제조사,쿨러 종류,권장 케이스 폭,쿨러 높이,팬 커넥터,펌프 커넥터,팬 크기,팬 개수,팬 굵기,베어링,최소 회전속도,최대 회전속도,최소 풍량,최대 풍량,최소 풍압,최대 풍압,최소 소음,최대 소음,최소 펌프속도,최대 펌프속도,최소 펌프소음,최대 펌프소음,LGA 2066,LGA 1151,LGA 2011-v3,LGA 115x,LGA 2011,TR4,SP3,AM4,AMx/FMx,팬 색깔,(워터블록 색),본체 색깔,LED 색,발광부분,(워터블록 LED),보증 기간
78,타워형 공랭,,[쿨러마스터] MASTERAIR MA620P RGB 컨트롤러,\72530,쿨러마스터,타워형 공랭,180mm,164.5mm,4핀,,120mm,2개,25T,,600rpm,1800rpm,,53.4CFM,,1.65mmH2O,,31dBA,,,,,O,O,O,O,O,,,O,O,투명,,검정,RGB (MB/Cont),팬,,2년
79,타워형 공랭,,[쿨러마스터] MASTERAIR MA610P RGB,\68170,쿨러마스터,타워형 공랭,180mm,166.5mm,4핀,,120mm,2개,25T,,650rpm,1800rpm,,53.38CFM,,1.65mmH2O,,35dBA,,,,,O,O,O,O,O,,,O,O,투명,,검정,RGB (MB),팬,,2년
80,타워형 공랭,,[쿨러마스터] MASTERAIR MA410P RGB,\49000,쿨러마스터,타워형 공랭,180mm,158.5mm,4핀,,120mm,1개,25T,,650rpm,2000rpm,,66.7CFM,,2.34mmH2O,6dBA,30dBA,,,,,O,O,O,O,O,,,O,O,투명,,검정,RGB (MB),팬,,2년
81,타워형 공랭,,[쿨러마스터] HYPER 212 LED Turbo RED,\38000,쿨러마스터,타워형 공랭,180mm,163mm,4핀,,120mm,2개,25T,RIfle,600rpm,1600rpm,,66.3CFM,,1.7mmH2O,9dBA,31dBA,,,,,,O,O,O,O,,,O,O,투명,,빨강,빨강,팬,,2년
82,타워형 공랭,,[쿨러마스터] HYPER 212 LED Turbo BLACK,\37440,쿨러마스터,타워형 공랭,180mm,163mm,4핀,,120mm,2개,25T,Rifle,600rpm,1600rpm,,66.3CFM,,1.7mmH2O,9dBA,31dBA,,,,,,O,O,O,O,,,O,O,투명,,검정,빨강,팬,,2년
83,타워형 공랭,,[쿨러마스터] HYPER 212 LED PLUS,\30590,쿨러마스터,타워형 공랭,180mm,160mm,4핀,,120mm,1개,25T,Rifle,600rpm,1600rpm,,66.3CFM,,1.7mmH2O,9dBA,31dBA,,,,,,O,O,O,O,,,O,O,투명,,은색,빨강,팬,,
84,타워형 공랭,,[쿨러마스터] HYPER 212 LED,\29070,쿨러마스터,타워형 공랭,180mm,160mm,4핀,,120mm,1개,25T,Rifle,600rpm,1600rpm,,66.3CFM,,1.7mmH2O,9dBA,31dBA,,,,,,O,O,O,O,,,O,O,투명,,은색,빨강,팬,,
85,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,-- 일반형(/슬림형) 공랭 쿨러 --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,일반형 공랭,,[be quiet] DARK ROCK TF 라이젠,\-,be quiet,일반형 공랭,135mm,130.8mm,4핀,,135mm,2개,22T,FDB,,1400rpm,,67.8CFM,,1.85mmH2O,,26.7dBA,,,,,O,O,O,O,O,,,O,O,검정,,검정,,,,3년
89,일반형 공랭,,[be quiet] SHADOW ROCK LP,\62500,be quiet,일반형 공랭,90mm,75.4mm,4핀,,120mm,1개,25T,Rifle,,1500rpm,,48.96CFM,,1.25mmH2O,,25.5dBA,,,,,,O,,O,O,,,,O,검정,,검정,,,,3년
90,일반형 공랭,, ,,,일반형 공랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,일반형 공랭,,[BRAVOTEC] JONSBO CR-701 RGB,\35590,BRAVOTEC,일반형 공랭,90mm,75mm,4핀,,120mm,1개,25T,Hydraulic,800rpm,1500rpm,20.5CFM,38.5CFM,,,,29.2dBA,,,,,,O,,O,,,,O,,투명,,검정,RGB (Auto),팬/본체,,1년
92,일반형 공랭,,[ID-COOLING] NEW IS-50,\32320,ID-COOLING,일반형 공랭,60mm,57mm,4핀,,120mm,1개,15T,Hydraulic,600rpm,1600rpm,,53.6CFM,,1.36mmH2O,13.8dBA,20.2dBA,,,,,,O,,O,,,,O,O,투명,,검정,,,,
93,일반형 공랭,,[ID-COOLING] NEW IS-60,\38890,ID-COOLING,일반형 공랭,60mm,55mm,4핀,,120mm,1개,15T,Hydraulic,600rpm,1600rpm,,53.6CFM,,1.36mmH2O,13.8dBA,30.2dBA,,,,,,O,,O,,,,O,O,투명,,검정,,,,
94,일반형 공랭,, ,,,일반형 공랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
