,,,제품,가격,회사,파워 규격,정격 용량,액티브 PFC,레일,+12V 전류,4핀 IDE,SATA,PCI-E (6),PCI-E(6+2),Reform 케이블,모듈러,대기전력 1W,플랫 케이블,프리볼트,80 PLUS,깊이,무상 A/S (/유상)
118,600,,[SuperFlower] SF-600R12A NOVA 80PLUS,\53000,SuperFlower,ATX,600W,O,싱글,46,4,6,,2,,,O,O,,스탠다드,140,5
119,600,,[SuperFlower] SF-600R14SE Silver Green FX,\76600,SuperFlower,ATX,600W,O,싱글,49.5,4,5,,2,O,,O,,O,실버,145,7
120,600,,[SuperFlower] SF-650F14MT LEADEX SILVER,\87700,SuperFlower,ATX,650W,O,싱글,54,3,6,,4,,풀,O,,,실버,165,7
121,600,,[SuperFlower] SF-650F14MT LEADEX SILVER (WHITE),\87900,SuperFlower,ATX,650W,O,싱글,54,3,6,,4,,풀,O,,,실버,165,7
122,700,,[SuperFlower] SF-700R12A NOVA,\61700,SuperFlower,ATX,700W,O,싱글,54,4,6,,4,O,,O,,,,140,5
123,700,,[SuperFlower] SF-750F14MG II LEADEX GOLD,\185000,SuperFlower,ATX,750W,O,싱글,62.4,5,10,,4,,풀,O,,O,골드,165,7
124,700,,[SuperFlower] SF-750F14MT LEADEX SILVER,\127900,SuperFlower,ATX,750W,O,싱글,62.4,4,9,,4,,풀,O,,,실버,165,7
125,800,,[SuperFlower] SF-850F14MP LEADEX PLATINUM,\280000,SuperFlower,ATX,850W,O,싱글,70.8,5,10,,4,O,풀,O,O,O,플래티넘,200,7
126,800,,[SuperFlower] SF-850F14MT LEADEX SILVER,\150000,SuperFlower,ATX,850W,O,싱글,70.8,4,9,,4,,풀,O,,,실버,165,7
127,,, ,,,,,,,,,,,,,,,,,,,
128,,,-- topower --,,,,,,,,,,,,,,,,,,,
129,,, ,,,,,,,,,,,,,,,,,,,
130,1000,,[topower] TOP-1000WG 80PLUS GOLD,\260000,topower,ATX,1000W,O,다중,30/30/30/30,6,8,3,3,O,풀,,,O,골드,175,3/3
131,500,,[topower] TOP-500D 80PLUS BRONZE POP,\48500,topower,ATX,500W,O,다중,22/22,4,6,,2,O,,O,,O,브론즈,140,3/3
132,500,,[topower] TOP-500D 80PLUS BRONZE POP LED,\52000,topower,ATX,500W,O,다중,22/22,4,6,,2,O,,O,,O,브론즈,140,3/3
133,500,,[topower] TOP-500D 80PLUS BRONZE POP WIDE,\45830,topower,ATX,500W,O,다중,22/22,4,6,,2,,,O,,O,브론즈,140,3/3
134,500,,[topower] TOP-500G 80PLUS GOLD Power One,\65500,topower,ATX,500W,O,다중,22/22,4,6,,2,O,,O,,O,골드,140,5
135,500,,[topower] TOP-500S 12VSD DUAL POWER,\40000,topower,ATX,500W,,다중,20/20,4,4,,2,,,,,,,140,3/3
136,500,,[topower] TOP-530A P1 80PLUS STANDARD,\44990,topower,ATX,530W,O,다중,23/23,4,6,,2,O,,O,,O,스탠다드,140,5
137,600,,[topower] TOP-600D 80PLUS BRONZE,\69000,topower,ATX,600W,O,다중,26/26,4,6,,2,O,,,,O,브론즈,140,3/3
138,600,,[topower] TOP-600D 80PLUS BRONZE POP,\65990,topower,ATX,600W,O,다중,26/26,4,6,,2,O,,O,,O,브론즈,140,3/3
139,600,,[topower] TOP-600D 80PLUS BRONZE POP BLUE LED,\68000,topower,ATX,600W,O,다중,26/26,4,6,,2,O,,O,,O,브론즈,140,3/3
140,600,,[topower] TOP-600D 80PLUS BRONZE POP WIDE,\57700,topower,ATX,600W,O,다중,26/26,4,6,,2,,,O,,O,브론즈,140,3/3
141,600,,[topower] TOP-600GM 80PLUS GOLD Power One LED 모듈러 Black & GOLD,\91800,topower,ATX,600W,O,다중,26/26,4,6,,2,,세미,O,O,O,골드,162,5
