,,,System Cooler,가격,제조사,팬 크기,두께,베어링,커넥터 핀,최소 회전,최대 회전,최소 풍량,최대 풍량,최소 풍압,최대 풍압,최소 소음,최대 소음,날개 색,본체 색,LED 색,발광 부분,보증 기간
2,EXISTS,,추가하지 않음,,,,,,,,,,,,,,,,,,,
3,EXISTS,, ,,,,,,,,,,,,,,,,,,,
97,120,,[ABKO] SUITMASTER HALO 120F GREEN LED,\12200,ABKO,120mm,25T,Hydro,3핀,,1300rpm,,33CFM,,1.3mmH2O,,25dBA,투명,검정,녹색,링,
98,120,,[ABKO] SUITMASTER HALO 120F YELLOW LED,\12200,ABKO,120mm,25T,Hydro,3핀,,1300rpm,,33CFM,,1.3mmH2O,,25dBA,투명,검정,노랑,링,
99,120,,[ABKO] SUITMASTER HALO 120F WHITE LED,\12200,ABKO,120mm,25T,Hydro,3핀,,1300rpm,,33CFM,,1.3mmH2O,,25dBA,투명,검정,흰색,링,
100,120,,[ABKO] SUITMASTER HALO 120F RED LED,\12200,ABKO,120mm,25T,Hydro,3핀,,1300rpm,,33CFM,,1.3mmH2O,,25dBA,투명,검정,빨강,링,
101,120,,[ABKO] SUITMASTER HALO 120F BLUE LED,\12200,ABKO,120mm,25T,Hydro,3핀,,1300rpm,,33CFM,,1.3mmH2O,,25dBA,투명,검정,파랑,링,
102,120,,[ABKO] SUITMASTER 120F BLADE WHITE LED,\7500,ABKO,120mm,25T,슬리브,3핀,,1200rpm,,36CFM,,,,23dBA,투명,흰색,흰색,팬,
103,120,,[ABKO] SUITMASTER 120F BLADE RED LED,\7500,ABKO,120mm,25T,슬리브,3핀,,1200rpm,,36CFM,,,,23dBA,투명,흰색,빨강,팬,
104,120,,[ABKO] SUITMASTER 120F BLADE BLUE LED,\7500,ABKO,120mm,25T,슬리브,3핀,,1200rpm,,36CFM,,,,23dBA,투명,흰색,파랑,팬,
105,120,, ,,,120mm,,,,,,,,,,,,,,,,
106,120,,[Antec] RGB LED RAINBOW 120,\15900,Antec,120mm,25T,Hydraulic,3핀,,1200rpm,,42.62CFM,,1.05mmH2O,,24.8dBA,메탈,검정,256C (Cont),팬,2년
107,120,,[Antec] TrueQuiet UFO 120mm LED Blue 블랙 진동 패드,\20330,Antec,120mm,25T,,3핀,,1000rpm,,46.3CFM,,,,19.9dBA,투명,검정,파랑,팬,
108,120,,[Antec] TrueQuiet UFO 120mm LED Red 블랙 진동 패드,\16280,Antec,120mm,25T,,3핀,,1000rpm,,46.3CFM,,,,19.9dBA,투명,검정,빨강,팬,
109,120,, ,,,120mm,,,,,,,,,,,,,,,,
110,120,,[ARCTIC] BioniX F120,\21840,ARCTIC,120mm,27T,FDB,4핀,200rpm,1800rpm,,69CFM,,,,26dBA,검정,검정,,,10년
111,120,,[ARCTIC] F12 SILENT,\10900,ARCTIC,120mm,25T,유체,3핀,,800rpm,,37CFM,,,,0.08Sone,흰색,검정,,,6년
112,120,,[ARCTIC] F12 PWM CO,\13900,ARCTIC,120mm,25T,2볼,4핀,400rpm,1350rpm,,74CFM,,,,0.5Sone,회색,회색,,,6년
113,120,,[ARCTIC] F12 v2,\10800,ARCTIC,120mm,25T,유체,3핀,,1350rpm,,57CFM,,,0.04Sone,0.5Sone,흰색,검정,,,6년
114,120,,[ARCTIC] F12 TC,\11900,ARCTIC,120mm,25T,FDB,3핀,300rpm,1350rpm,,57CFM,,,,0.5Sone,흰색,검정,,,6년
115,120,,[ARCTIC] F12 PWM,\12000,ARCTIC,120mm,25T,FDB,4핀,300rpm,1350rpm,,57CFM,,,,0.5Sone,흰색,검정,,,6년
116,120,,[ARCTIC] F12,\11500,ARCTIC,120mm,25T,유체,3핀,,1350rpm,,57CFM,,,,0.5Sone,흰색,검정,,,6년
117,120,, ,,,120mm,,,,,,,,,,,,,,,,
118,120,,[be quiet] PURE WINGS 2 120mm PWM,\19450,be quiet,120mm,25T,Rifle,4핀,,1500rpm,,51.4CFM,,1.25mmH2O,,20.2dBA,검정,검정,,,3년
119,120,,[be quiet] SILENT WINGS 3 120mm PWM HIGH-SPEED,\44100,be quiet,120mm,25T,FDB,4핀,,2200rpm,,73.33CFM,,3.37mmH2O,,28.6dBA,검정,검정,,,3년
120,120,,[be quiet] SILENT WINGS 3 120mm HIGH-SPEED,\38000,be quiet,120mm,25T,FDB,3핀,,2200rpm,,73.33CFM,,3.37mmH2O,,28.6dBA,검정,검정,,,3년
121,120,,[be quiet] SILENT WINGS 3 120mm PWM,\40000,be quiet,120mm,25T,FDB,4핀,,1450rpm,,50.5CFM,,1.79mmH2O,,16.4dBA,검정,검정,,,3년
122,120,,[be quiet] SILENT WINGS 3 120mm,\38000,be quiet,120mm,25T,FDB,3핀,,1450rpm,,50.5CFM,,1.79mmH2O,,16.4dBA,검정,검정,,,3년
123,120,,[be quiet] Silent Wings 2 PWM 120mm,\40000,be quiet,120mm,25T,FDB,4핀,,1500rpm,,50.5CFM,,1.63mmH2O,,16.5dBA,검정,검정,,,3년
124,120,,[be quiet] Silent Wings 2 120mm,\37000,be quiet,120mm,25T,FDB,3핀,,1500rpm,,50.5CFM,,1.63mmH2O,,15.7dBA,검정,검정,,,3년
125,120,, ,,,120mm,,,,,,,,,,,,,,,,
126,120,,[BRAVOTEC] JONSBO FR-501 ARGB,\11960,BRAVOTEC,120mm,25T,Hydraulic,3핀,,1200rpm,,40.6CFM,,0.95mmH2O,,24.1dBA,투명,검정,RGB (Auto),팬,
127,120,,[BRAVOTEC] JONSBO FR-601 SNOW RED,\10800,BRAVOTEC,120mm,25T,Hydraulic,3핀,,1500rpm,,38.5CFM,,0.95mmH2O,,24dBA,흰색,흰색,빨강,링,
128,120,,[BRAVOTEC] JONSBO FR-601 SNOW ARGB,\13500,BRAVOTEC,120mm,25T,Hydraulic,3핀,,1500rpm,,38.5CFM,,0.95mmH2O,,24dBA,흰색,흰색,RGB (Auto),링,
129,120,,[BRAVOTEC] JONSBO FR-601 SNOW WHITE,\10800,BRAVOTEC,120mm,25T,Hydraulic,3핀,,1500rpm,,38.5CFM,,0.95mmH2O,,24dBA,흰색,흰색,흰색,링,
130,120,,[BRAVOTEC] JONSBO FR-301 RGB 아우라 싱크,\-,BRAVOTEC,120mm,25T,Hydraulic,3핀,,1500rpm,,38.6CFM,,,,25dBA,검정,검정,RGB (MB),링,
131,120,,[BRAVOTEC] JONSBO FR-601 ARGB,\12500,BRAVOTEC,120mm,25T,Hydraulic,3핀,,1500rpm,,38.5CFM,,0.95mmH2O,,24dBA,검정,검정,RGB (Auto),링,
132,120,,[BRAVOTEC] JONSBO FR-601 RED,\9800,BRAVOTEC,120mm,25T,Hydraulic,3핀,,1500rpm,,38.5CFM,,0.95mmH2O,,24dBA,검정,검정,빨강,링,
133,120,,[BRAVOTEC] JONSBO FR-601 WHITE,\9800,BRAVOTEC,120mm,25T,Hydraulic,3핀,,1500rpm,,38.5CFM,,0.95mmH2O,,24dBA,검정,검정,흰색,링,
134,120,,[BRAVOTEC] JONSBO FR-301 써클링 RED LED PWM,\16000,BRAVOTEC,120mm,25T,2볼,4핀,600rpm,1600rpm,14.8CFM,45.1CFM,,,18dBA,26.1dBA,검정,검정,빨강,링,
135,120,,[BRAVOTEC] JONSBO FR-201 헥사곤 WHITE LED PWM,\16000,BRAVOTEC,120mm,25T,2볼,4핀,600rpm,1600rpm,14.8CFM,45.1CFM,,,18dBA,26.1dBA,검정,검정,흰색,링,
136,120,,[BRAVOTEC] JONSBO FR-201 헥사곤 RED LED PWM,\16000,BRAVOTEC,120mm,25T,2볼,4핀,600rpm,1600rpm,14.8CFM,45.1CFM,,,18dBA,26.1dBA,검정,검정,빨강,링,
